,Unnamed: 0,Observatory,Data_year,agglomeration,Zone_complementaire,Type_habitat,epoque_construction_homogene,anciennete_locataire_homogene,nombre_pieces_homogene,loyer_1_decile,loyer_1_quartile,loyer_median,loyer_3_quartile,loyer_9_decile,loyer_moyen,loyer_mensuel_1_decile,loyer_mensuel_1_quartile,loyer_mensuel_median,loyer_mensuel_3_quartile,loyer_mensuel_9_decile,moyenne_loyer_mensuel,surface_moyenne,nombre_observations,nombre_logements,methodologie_production
110,110,0,0,0,,1.0,5.0,2.0,1.0,8.06,9.61,11.0,12.59,13.46,10.81,458.8,541.66,626.56,730.87,806.6,649.68,63.5,40.0,,0.0
111,111,0,0,0,,1.0,5.0,2.0,3.0,9.8,9.8,12.3,13.3,13.3,11.8,1020.0,1020.0,1168.0,1290.0,1400.0,1215.0,103.0,94.0,,0.0
112,112,0,0,0,,3.0,5.0,2.0,4.0,12.2,12.8,14.7,16.7,18.3,14.9,280.0,348.0,446.0,506.0,600.0,433.0,29.0,347.0,,0.0
113,113,0,0,0,,3.0,5.0,2.0,5.0,11.7,13.0,14.4,15.7,17.4,14.3,495.0,550.0,619.0,697.0,740.0,617.0,43.0,1721.0,,0.0
114,114,0,0,0,,3.0,5.0,2.0,6.0,10.3,11.3,12.5,14.1,14.9,12.5,660.0,721.0,793.0,880.0,977.0,802.0,64.0,1820.0,,0.0
115,115,0,0,0,,3.0,5.0,2.0,7.0,8.8,10.6,10.9,12.4,13.0,11.0,748.0,850.0,977.0,981.0,1170.0,970.0,88.0,360.0,,0.0
116,116,0,0,0,,4.0,,,,8.0,10.0,12.0,14.5,16.5,11.7,580.0,742.0,980.0,1250.0,1503.0,1038.0,89.0,1616.0,31623.0,0.0
117,117,0,0,0,,5.0,,,1.0,9.6,10.9,12.7,15.1,18.8,12.5,520.0,600.0,750.0,880.0,1003.0,759.0,61.0,656.0,14842.0,0.0
118,118,0,0,0,,5.0,,,3.0,7.7,9.4,11.2,14.0,16.0,11.3,800.0,1000.0,1212.0,1400.0,1700.0,1270.0,112.0,960.0,16782.0,0.0
119,119,0,0,0,,4.0,,1.0,,9.0,11.1,13.8,14.8,17.4,13.0,655.0,700.0,1100.0,1400.0,1600.0,1116.0,86.0,433.0,,0.0
120,120,0,0,0,,5.0,,1.0,1.0,9.8,11.0,13.6,16.3,19.4,13.3,551.0,655.0,700.0,900.0,1150.0,799.0,60.0,201.0,,0.0
121,121,0,0,0,,5.0,,1.0,3.0,9.0,11.1,13.8,14.5,16.5,12.8,900.0,1180.0,1334.0,1565.0,1700.0,1366.0,107.0,232.0,,0.0
122,122,0,0,0,,4.0,,2.0,,7.7,9.8,11.8,13.6,16.3,11.3,580.0,750.0,978.0,1221.0,1400.0,1014.0,90.0,1183.0,,0.0
123,123,0,0,0,,5.0,,2.0,1.0,9.6,10.7,12.5,15.0,17.3,12.3,510.0,580.0,750.0,864.0,1000.0,748.0,61.0,455.0,,0.0
124,124,0,0,0,,5.0,,2.0,3.0,7.6,9.0,11.0,13.3,16.0,10.9,800.0,1000.0,1168.0,1330.0,1700.0,1240.0,114.0,728.0,,0.0
125,125,0,0,0,,4.0,1.0,,,7.6,10.0,11.5,14.1,18.8,10.9,528.0,600.0,775.0,1003.0,1230.0,847.0,78.0,465.0,,0.0
126,126,0,0,0,,5.0,1.0,,1.0,9.0,10.5,12.2,14.5,20.0,11.8,510.0,577.0,655.0,817.0,950.0,704.0,59.0,251.0,,0.0
127,127,0,0,0,,5.0,1.0,,3.0,5.7,8.1,10.5,13.3,14.8,9.7,940.0,1046.0,1212.0,1250.0,1400.0,1210.0,125.0,214.0,,0.0
128,128,0,0,0,,4.0,1.0,1.0,,8.1,10.7,13.2,14.6,16.4,12.4,551.0,655.0,814.0,1100.0,1400.0,919.0,74.0,138.0,,0.0
129,129,0,0,0,,4.0,1.0,2.0,,7.6,9.8,10.9,13.6,18.8,10.3,510.0,580.0,775.0,1000.0,1212.0,817.0,80.0,327.0,,0.0
130,130,0,0,0,,4.0,2.0,,,7.7,9.6,12.2,14.3,16.3,11.6,590.0,650.0,794.0,1022.0,1503.0,974.0,84.0,337.0,,0.0
131,131,0,0,0,,5.0,2.0,,1.0,9.6,11.6,13.1,14.7,16.3,12.6,520.0,590.0,700.0,950.0,1000.0,762.0,60.0,168.0,,0.0
132,132,0,0,0,,5.0,2.0,,3.0,6.5,7.7,10.6,14.3,16.7,10.8,647.0,769.0,1000.0,1429.0,1929.0,1252.0,116.0,169.0,,0.0
133,133,0,0,0,,4.0,2.0,1.0,,9.0,11.3,13.3,15.5,16.3,12.9,700.0,760.0,1000.0,1300.0,1300.0,996.0,77.0,89.0,,0.0
134,134,0,0,0,,4.0,2.0,2.0,,6.9,9.6,11.9,13.9,16.3,11.4,520.0,650.0,794.0,1000.0,1503.0,971.0,85.0,248.0,,0.0
135,135,0,0,0,,4.0,3.0,,,8.0,9.2,11.1,13.8,15.1,11.3,680.0,850.0,1100.0,1280.0,1400.0,1091.0,97.0,334.0,,0.0
136,136,0,0,0,,5.0,3.0,,1.0,12.0,12.0,14.5,15.0,19.4,13.7,680.0,720.0,825.0,1058.0,1200.0,883.0,64.0,85.0,,0.0
